accumulate,lr,prefix,proba_drop_chm,proba_drop_rgb,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
24,0.0025,exp0,0.1,0.1,exp0,180,exp0_736436a0bd094c91960f13bc59306fd5,RGB and CIR,0.20181435315708918
24,0.0025,exp0,0.1,0.1,exp0,180,exp0_736436a0bd094c91960f13bc59306fd5,CHM only,0.14029330171525065
12,0.0025,exp0,0.333,0.333,exp0,85,exp0_315210208dd04d33bd34b7c6d93b1db5,"RGB, CIR and CHM",0.2555175626818901
12,0.0025,exp0,0.333,0.333,exp0,85,exp0_315210208dd04d33bd34b7c6d93b1db5,RGB and CIR,0.2054315313332307
12,0.0025,exp0,0.333,0.333,exp0,85,exp0_315210208dd04d33bd34b7c6d93b1db5,CHM only,0.22667853332015947
12,0.001,exp0,0.0,0.0,exp0,349,exp0_c25cbbbeebf341708b0ca5f49eb22e59,"RGB, CIR and CHM",0.16078148074814338
12,0.001,exp0,0.0,0.0,exp0,349,exp0_c25cbbbeebf341708b0ca5f49eb22e59,RGB and CIR,0.09584867678516852
12,0.001,exp0,0.0,0.0,exp0,349,exp0_c25cbbbeebf341708b0ca5f49eb22e59,CHM only,0.10159139770358497
36,0.001,exp0,0.333,0.333,exp0,817,exp0_57d26a5f35ab41a1961d16c0d7ca7fc9,"RGB, CIR and CHM",0.13701371715221047
36,0.001,exp0,0.333,0.333,exp0,817,exp0_57d26a5f35ab41a1961d16c0d7ca7fc9,RGB and CIR,0.14158660912597232
36,0.001,exp0,0.333,0.333,exp0,817,exp0_57d26a5f35ab41a1961d16c0d7ca7fc9,CHM only,0.13772793050061932
36,0.006,exp0,0.1,0.1,exp0,255,exp0_bc596da081b04960b938f9aef71a29de,"RGB, CIR and CHM",0.23058475363257155
36,0.006,exp0,0.1,0.1,exp0,255,exp0_bc596da081b04960b938f9aef71a29de,RGB and CIR,0.13045236045584097
36,0.006,exp0,0.1,0.1,exp0,255,exp0_bc596da081b04960b938f9aef71a29de,CHM only,0.1424850695578285
12,0.001,exp0,0.1,0.1,exp0,266,exp0_a583923d20fe45eebc6548baf6fc5678,"RGB, CIR and CHM",0.1636945062859707
12,0.001,exp0,0.1,0.1,exp0,266,exp0_a583923d20fe45eebc6548baf6fc5678,RGB and CIR,0.1413555823237294
12,0.001,exp0,0.1,0.1,exp0,266,exp0_a583923d20fe45eebc6548baf6fc5678,CHM only,0.1727497572605043
36,0.001,exp0,0.1,0.1,exp0,991,exp0_ee65b712ff0748358904a8856852a521,"RGB, CIR and CHM",0.13165171940141648
36,0.001,exp0,0.1,0.1,exp0,991,exp0_ee65b712ff0748358904a8856852a521,RGB and CIR,0.1683157607977813
36,0.001,exp0,0.1,0.1,exp0,991,exp0_ee65b712ff0748358904a8856852a521,CHM only,0.12364403976158293
36,0.0025,exp0,0.0,0.0,exp0,210,exp0_3d13af1225c047c787f75ebc4fe49edd,"RGB, CIR and CHM",0.22541538088841503
36,0.0025,exp0,0.0,0.0,exp0,210,exp0_3d13af1225c047c787f75ebc4fe49edd,RGB and CIR,0.017782577649432366
36,0.0025,exp0,0.0,0.0,exp0,210,exp0_3d13af1225c047c787f75ebc4fe49edd,CHM only,0.13751391315655292
24,0.001,exp0,0.1,0.1,exp0,446,exp0_1d1ef65f06c24d29907d24c4f1bb8949,"RGB, CIR and CHM",0.1322495233883217
24,0.001,exp0,0.1,0.1,exp0,446,exp0_1d1ef65f06c24d29907d24c4f1bb8949,RGB and CIR,0.12901252467046298
24,0.001,exp0,0.1,0.1,exp0,446,exp0_1d1ef65f06c24d29907d24c4f1bb8949,CHM only,0.15962819917331153
12,0.0025,exp0,0.0,0.0,exp0,39,exp0_8b012a60010d49919956eb59a9dee0db,"RGB, CIR and CHM",0.22769361390028178
12,0.0025,exp0,0.0,0.0,exp0,39,exp0_8b012a60010d49919956eb59a9dee0db,RGB and CIR,0.027056944446899885
12,0.0025,exp0,0.0,0.0,exp0,39,exp0_8b012a60010d49919956eb59a9dee0db,CHM only,0.15020744677874773
24,0.0025,exp0,0.0,0.0,exp0,275,exp0_5b7bec31aeae4b5b945ad3c83a859ed8,"RGB, CIR and CHM",0.20144226885919125
24,0.0025,exp0,0.0,0.0,exp0,275,exp0_5b7bec31aeae4b5b945ad3c83a859ed8,RGB and CIR,0.054861940093799924
24,0.0025,exp0,0.0,0.0,exp0,275,exp0_5b7bec31aeae4b5b945ad3c83a859ed8,CHM only,0.0931117123839268
24,0.0025,exp0,0.333,0.333,exp0,111,exp0_4146ee8b2311434a96bcb7ced973a37b,"RGB, CIR and CHM",0.23450043810340113
24,0.0025,exp0,0.333,0.333,exp0,111,exp0_4146ee8b2311434a96bcb7ced973a37b,RGB and CIR,0.2118106648589919
24,0.0025,exp0,0.333,0.333,exp0,111,exp0_4146ee8b2311434a96bcb7ced973a37b,CHM only,0.2094776136431475
12,0.006,exp0,0.333,0.333,exp0,381,exp0_dd16607a1cb343fea1b1cfe4ba12823f,"RGB, CIR and CHM",0.2558525025895894
12,0.006,exp0,0.333,0.333,exp0,381,exp0_dd16607a1cb343fea1b1cfe4ba12823f,RGB and CIR,0.22518709006430404
12,0.006,exp0,0.333,0.333,exp0,381,exp0_dd16607a1cb343fea1b1cfe4ba12823f,CHM only,0.19442372269006747
12,0.006,exp0,0.1,0.1,exp0,88,exp0_0fdeeb44f41a4551b5f80f3186f18e5f,"RGB, CIR and CHM",0.2797868393986281
12,0.006,exp0,0.1,0.1,exp0,88,exp0_0fdeeb44f41a4551b5f80f3186f18e5f,RGB and CIR,0.2322600513456304
12,0.006,exp0,0.1,0.1,exp0,88,exp0_0fdeeb44f41a4551b5f80f3186f18e5f,CHM only,0.20994819219186353
36,0.0025,exp0,0.333,0.333,exp0,183,exp0_51eb911ebcb144a2bd1295f7505158a8,"RGB, CIR and CHM",0.1976502831614052
36,0.0025,exp0,0.333,0.333,exp0,183,exp0_51eb911ebcb144a2bd1295f7505158a8,RGB and CIR,0.17648755905487737
36,0.0025,exp0,0.333,0.333,exp0,183,exp0_51eb911ebcb144a2bd1295f7505158a8,CHM only,0.1896849727452181
24,0.001,exp0,0.333,0.333,exp0,737,exp0_027a6c565ff04d809436173ec515952e,"RGB, CIR and CHM",0.13392655856773955
24,0.001,exp0,0.333,0.333,exp0,737,exp0_027a6c565ff04d809436173ec515952e,RGB and CIR,0.13114098914655403
24,0.001,exp0,0.333,0.333,exp0,737,exp0_027a6c565ff04d809436173ec515952e,CHM only,0.14007192394660292
36,0.0025,exp0,0.1,0.1,exp0,500,exp0_2f02629adc2a49be9c872eba172ecc60,"RGB, CIR and CHM",0.14865166202309213
36,0.0025,exp0,0.1,0.1,exp0,500,exp0_2f02629adc2a49be9c872eba172ecc60,RGB and CIR,0.14116981233956805
36,0.0025,exp0,0.1,0.1,exp0,500,exp0_2f02629adc2a49be9c872eba172ecc60,CHM only,0.14650117850238992
24,0.006,exp0,0.0,0.0,exp0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,"RGB, CIR and CHM",0.19932626730138558
24,0.006,exp0,0.0,0.0,exp0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,RGB and CIR,0.03300174110715883
24,0.006,exp0,0.0,0.0,exp0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,CHM only,0.1274935898997419
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,"RGB, CIR and CHM",0.24212414040660513
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,RGB and CIR,0.20807142552564142
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,CHM only,0.17158957831025026
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,"RGB, CIR and CHM",0.25103621369028944
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,RGB and CIR,0.07754253235999063
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,CHM only,0.16942250180308385
