chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP,Agnostic
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,50,exp1_653a790ee2824f30a7586007b5babc02,CHM only,0.041489729,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,"RGB, CIR and CHM",0.237195243,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,RGB and CIR,0.251406975,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp2,122,exp2_d9044285c268422f863903b0b7e60d0b,CHM only,0.044280792,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,"RGB, CIR and CHM",0.211040488,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,RGB and CIR,0.218369335,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,CHM only,0.026387337,TRUE
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,"RGB, CIR and CHM",0.205876461,TRUE
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,RGB and CIR,0.012168133,TRUE
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,CHM only,0.032083493,TRUE
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,"RGB, CIR and CHM",0.241870504,TRUE
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,RGB and CIR,0.025033253,TRUE
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,CHM only,0.048422313,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,"RGB, CIR and CHM",0.23754374,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,RGB and CIR,0.087174303,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,CHM only,0.121660648,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,"RGB, CIR and CHM",0.272010491,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,RGB and CIR,0.026570293,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,CHM only,0.127285356,TRUE
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,"RGB, CIR and CHM",0.221648366,TRUE
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,RGB and CIR,0.011102096,TRUE
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,CHM only,0.016569679,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,"RGB, CIR and CHM",0.152199795,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,RGB and CIR,0.128409553,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,CHM only,0.09216849,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,"RGB, CIR and CHM",0.226799148,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,RGB and CIR,0.226493104,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,CHM only,0.040829774,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,"RGB, CIR and CHM",0.27609898,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,RGB and CIR,0.267314935,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,CHM only,0.033382548,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,"RGB, CIR and CHM",0.22946203,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,RGB and CIR,0.053368591,TRUE
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,CHM only,0.021822146,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,"RGB, CIR and CHM",0.266944552,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,RGB and CIR,0.151369045,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp1,41,exp1_2f5901760cbc4b4da574907913e9855e,CHM only,0.216488856,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp1,79,exp1_14c04e9f1c9f4a28a405234314a53929,"RGB, CIR and CHM",0.22393483,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp1,79,exp1_14c04e9f1c9f4a28a405234314a53929,RGB and CIR,0.234826105,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp1,79,exp1_14c04e9f1c9f4a28a405234314a53929,CHM only,0.029702152,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,114,exp3_3403912d60a34ba89d8f50bab232d39c,"RGB, CIR and CHM",0.277671069,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,114,exp3_3403912d60a34ba89d8f50bab232d39c,RGB and CIR,0.282751608,TRUE
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp3,114,exp3_3403912d60a34ba89d8f50bab232d39c,CHM only,0.029555635,TRUE
"[[-inf, inf]]",exp3,65,exp3_25c2110c6e314d4ea33420fbe582b2ec,"RGB, CIR and CHM",0.23049922,TRUE
"[[-inf, inf]]",exp3,65,exp3_25c2110c6e314d4ea33420fbe582b2ec,RGB and CIR,0.046511175,TRUE
"[[-inf, inf]]",exp3,65,exp3_25c2110c6e314d4ea33420fbe582b2ec,CHM only,0.02512075,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,41,exp0_e0d64ec0b67f44a59229f0508d8a7452,"RGB, CIR and CHM",0.207360245,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,41,exp0_e0d64ec0b67f44a59229f0508d8a7452,RGB and CIR,0.077478204,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp0,41,exp0_e0d64ec0b67f44a59229f0508d8a7452,CHM only,0.135611083,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,77,exp4_2cb3c425c7a24d91b0ac0b881aea01c6,"RGB, CIR and CHM",0.179791448,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,77,exp4_2cb3c425c7a24d91b0ac0b881aea01c6,RGB and CIR,0.019212441,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp4,77,exp4_2cb3c425c7a24d91b0ac0b881aea01c6,CHM only,0.108305117,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,76,exp0_d435c595aaa44a76b88a54580cae0108,"RGB, CIR and CHM",0.252505309,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,76,exp0_d435c595aaa44a76b88a54580cae0108,RGB and CIR,0.123918317,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp0,76,exp0_d435c595aaa44a76b88a54580cae0108,CHM only,0.126127741,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,61,exp2_cb0a702a41b5492485a4a5e4ce93a786,"RGB, CIR and CHM",0.242307225,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,61,exp2_cb0a702a41b5492485a4a5e4ce93a786,RGB and CIR,0.044390644,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp2,61,exp2_cb0a702a41b5492485a4a5e4ce93a786,CHM only,0.139528095,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,83,exp3_6235d4994c25497db84c9b8b9a18c978,"RGB, CIR and CHM",0.223382193,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,83,exp3_6235d4994c25497db84c9b8b9a18c978,RGB and CIR,0.05448478,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,83,exp3_6235d4994c25497db84c9b8b9a18c978,CHM only,0.151420751,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp1,91,exp1_fc556a52ca2a41149bd2d0e5944e9d85,"RGB, CIR and CHM",0.143982623,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp1,91,exp1_fc556a52ca2a41149bd2d0e5944e9d85,RGB and CIR,0.130547891,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp1,91,exp1_fc556a52ca2a41149bd2d0e5944e9d85,CHM only,0.088160701,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,43,exp2_dc8b896b0bfa424ca8cc1ad9623342dc,"RGB, CIR and CHM",0.252750452,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,43,exp2_dc8b896b0bfa424ca8cc1ad9623342dc,RGB and CIR,0.117720918,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp2,43,exp2_dc8b896b0bfa424ca8cc1ad9623342dc,CHM only,0.206693455,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,77,exp3_c29fc9e9a83d458cbc6034bff2d57ced,"RGB, CIR and CHM",0.268023133,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,77,exp3_c29fc9e9a83d458cbc6034bff2d57ced,RGB and CIR,0.087580364,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp3,77,exp3_c29fc9e9a83d458cbc6034bff2d57ced,CHM only,0.002948199,TRUE
"[[-inf, inf]]",exp3,92,exp3_271aa3dffcd34e4395cfb8995c477a11,"RGB, CIR and CHM",0.263490654,TRUE
"[[-inf, inf]]",exp3,92,exp3_271aa3dffcd34e4395cfb8995c477a11,RGB and CIR,0.006051733,TRUE
"[[-inf, inf]]",exp3,92,exp3_271aa3dffcd34e4395cfb8995c477a11,CHM only,0.022661138,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,74,exp4_3c4f213673d44923b00637b7963173c3,"RGB, CIR and CHM",0.183048294,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,74,exp4_3c4f213673d44923b00637b7963173c3,RGB and CIR,0.080891456,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp4,74,exp4_3c4f213673d44923b00637b7963173c3,CHM only,0.093826197,TRUE
"[[-inf, inf]]",exp2,126,exp2_e460ea445ea14a40a37ef34791e24912,"RGB, CIR and CHM",0.254844857,TRUE
"[[-inf, inf]]",exp2,126,exp2_e460ea445ea14a40a37ef34791e24912,RGB and CIR,0.040215552,TRUE
"[[-inf, inf]]",exp2,126,exp2_e460ea445ea14a40a37ef34791e24912,CHM only,0.021375275,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,55,exp1_0c5e42f72c004650908502beb81830a8,"RGB, CIR and CHM",0.284101771,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,55,exp1_0c5e42f72c004650908502beb81830a8,RGB and CIR,0.194319711,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,55,exp1_0c5e42f72c004650908502beb81830a8,CHM only,0.196087402,TRUE
"[[-inf, inf]]",exp4,120,exp4_ac097075e61e4bcda0ec21bd9b1c12f3,"RGB, CIR and CHM",0.265706453,TRUE
"[[-inf, inf]]",exp4,120,exp4_ac097075e61e4bcda0ec21bd9b1c12f3,RGB and CIR,0.008588958,TRUE
"[[-inf, inf]]",exp4,120,exp4_ac097075e61e4bcda0ec21bd9b1c12f3,CHM only,0.041014001,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,57,exp4_dcb038e1ddd5467c8bf4dca575396e6e,"RGB, CIR and CHM",0.257637792,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,57,exp4_dcb038e1ddd5467c8bf4dca575396e6e,RGB and CIR,0.138964533,TRUE
"[[-inf, 3], [3, 9], [9, inf]]",exp4,57,exp4_dcb038e1ddd5467c8bf4dca575396e6e,CHM only,0.227674459,TRUE
"[[-inf, inf]]",exp3,39,exp3_341400ec622f487497cfd4bcc6a064a9,"RGB, CIR and CHM",0.220707121,TRUE
"[[-inf, inf]]",exp3,39,exp3_341400ec622f487497cfd4bcc6a064a9,RGB and CIR,0.009189656,TRUE
"[[-inf, inf]]",exp3,39,exp3_341400ec622f487497cfd4bcc6a064a9,CHM only,0.029671756,TRUE
"[[-inf, inf]]",exp1,59,exp1_60846ab842fc47c6895237b73e0a5708,"RGB, CIR and CHM",0.260422435,TRUE
"[[-inf, inf]]",exp1,59,exp1_60846ab842fc47c6895237b73e0a5708,RGB and CIR,0.009250234,TRUE
"[[-inf, inf]]",exp1,59,exp1_60846ab842fc47c6895237b73e0a5708,CHM only,0.039182946,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,74,exp3_21501bd687af4a83b0f965cac564ab4c,"RGB, CIR and CHM",0.166247419,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,74,exp3_21501bd687af4a83b0f965cac564ab4c,RGB and CIR,0.05980757,TRUE
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp3,74,exp3_21501bd687af4a83b0f965cac564ab4c,CHM only,0.085784296,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,98,exp2_8fbc4ea1e7f0426198f5d56e7284b78e,"RGB, CIR and CHM",0.199579924,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,98,exp2_8fbc4ea1e7f0426198f5d56e7284b78e,RGB and CIR,0.210513326,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp2,98,exp2_8fbc4ea1e7f0426198f5d56e7284b78e,CHM only,0.024439363,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp2,79,exp2_9777e06c70ff44329c5a37efa687f086,"RGB, CIR and CHM",0.153813696,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp2,79,exp2_9777e06c70ff44329c5a37efa687f086,RGB and CIR,0.198674928,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp2,79,exp2_9777e06c70ff44329c5a37efa687f086,CHM only,0.094337744,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,56,exp1_6dc8aaf183af4772bc6d0b3fbd3d44c2,"RGB, CIR and CHM",0.308605829,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,56,exp1_6dc8aaf183af4772bc6d0b3fbd3d44c2,RGB and CIR,0.204317826,TRUE
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp1,56,exp1_6dc8aaf183af4772bc6d0b3fbd3d44c2,CHM only,0.142410549,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,100,exp3_1a3494ba65dd4dce8b8a87f569dcf9af,"RGB, CIR and CHM",0.251666608,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,100,exp3_1a3494ba65dd4dce8b8a87f569dcf9af,RGB and CIR,0.262184958,TRUE
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp3,100,exp3_1a3494ba65dd4dce8b8a87f569dcf9af,CHM only,0.027073534,TRUE
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp1,79,exp1_3730111b6b174f39becd430f69a55155,"RGB, CIR and CHM",0.262322858,TRUE
